subject ROI    y     x
HMN007 RIFG_BA45 -0.0242 16.76
HMN008 RIFG_BA45 0.0027 19.48
HMN011 RIFG_BA45 -0.0463 16.88
HMN012 RIFG_BA45 -0.1007 19.29
HMN013 RIFG_BA45 -0.0913 19.62
HMN014 RIFG_BA45 0.328 17.48
HMN018 RIFG_BA45 0.2744 17.95
HMN019 RIFG_BA45 0.3249 19.07
HMN020 RIFG_BA45 -0.0134 17.33
HMN021 RIFG_BA45 0.1225 18.19
HMN023 RIFG_BA45 0.1411 19.57
HMN024 RIFG_BA45 0.085 18.75
HMN025 RIFG_BA45 0.2861 18.95
HMN026 RIFG_BA45 -0.2848 18.14
HMN027 RIFG_BA45 0.0096 18.98
HMN028 RIFG_BA45 -0.0066 17.88
HMN029 RIFG_BA45 -0.075 19.71
HMN030 RIFG_BA45 -0.2984 15.93
HMN031 RIFG_BA45 0.2252 15.76
HMN032 RIFG_BA45 0.1102 18.29
HMN033 RIFG_BA45 -0.2537 11.24
HMN035 RIFG_BA45 0.2731 17.76
HMN037 RIFG_BA45 0.0708 17.41
HMN038 RIFG_BA45 0.1107 17.81
HMN039 RIFG_BA45 0.0873 17.12
HMN040 RIFG_BA45 0.3093 13.02
HMN041 RIFG_BA45 -0.0118 16.83
HMN042 RIFG_BA45 -0.1463 16.69
HMN043 RIFG_BA45 0.2129 16.48
HMN045 RIFG_BA45 0.052 19.46
HMN048 RIFG_BA45 0.0655 15.86
HMN049 RIFG_BA45 0.1614 16.76
HMN050_2 RIFG_BA45 -0.0751 19.05
HMN052 RIFG_BA45 0.1852 18.76
HMN053 RIFG_BA45 0.1557 11.88
HMN055 RIFG_BA45 0.1898 15.69
HMN056 RIFG_BA45 0.2954 19.95
HMN057 RIFG_BA45 0.2227 17.45
HMN058 RIFG_BA45 0.2193 18.6
HMN060 RIFG_BA45 -0.3582 19.33
HMN062 RIFG_BA45 0.0307 14.67
HMN065 RIFG_BA45 0.181 18.21
HMN068 RIFG_BA45 0.4645 18.71
HMN069 RIFG_BA45 0.0196 18.45
HMN072 RIFG_BA45 0.2573 14.88
HMN073 RIFG_BA45 0.2521 14.95
HMN074 RIFG_BA45 0.1879 18.67
HMN075 RIFG_BA45 0.2559 18.88
HMN077 RIFG_BA45 0.2038 17.52
HMN079 RIFG_BA45 0.3276 15.54
HMN080_W2 RIFG_BA45 -0.2603 15.1
HMN081 RIFG_BA45 0.1049 13.5
HMN082 RIFG_BA45 0.041 9.8
HMN083_W2 RIFG_BA45 0.2778 15.07
HMN085 RIFG_BA45 0.1273 13.6
HMN086 RIFG_BA45 -0.141 16.05
HMN087 RIFG_BA45 0.2826 19
HMN088 RIFG_BA45 -0.0079 14.07
HMN090 RIFG_BA45 0.0415 19.29
HMN092 RIFG_BA45 0.1859 12.86
HMN095 RIFG_BA45 0.2481 16.85
HMN096 RIFG_BA45 0.1809 17.69
HMN099 RIFG_BA45 -0.0159 17.05
HMN101 RIFG_BA45 0.2762 14.64
HMN102 RIFG_BA45 0.2045 12.37
HMN103 RIFG_BA45 -0.1854 15.93
HMN104 RIFG_BA45 -0.0837 18.43
HMN105 RIFG_BA45 0.1082 16.71
HMN108 RIFG_BA45 0.0253 18.05
HMN109 RIFG_BA45 0.3565 13.95
HMN110 RIFG_BA45 0.2902 15.67
HMN111 RIFG_BA45 0.0273 13.93
